"","CountryName","SurveyId","Sex","Reference_period","tips","est","ci_l","ci_u"
"CG2011DHS.5","Congo","CG2011DHS","Males",2008-08-01,"0-6",0.173127653796074,0.147566042713447,0.19792275862264
"CG2011DHS.6","Congo","CG2011DHS","Females",2008-08-01,"0-6",0.201293581120415,0.174751822316965,0.226981699795439
"CI1994DHS.1","Cote d'Ivoire","CI1994DHS","Males",1977-05-02,"14-20",0.136683897418221,0.0904469705058412,0.180570380386184
"CI1994DHS.2","Cote d'Ivoire","CI1994DHS","Females",1977-05-02,"14-20",0.0868861702330032,0.0505267593271177,0.121853223034635
"CI1994DHS.3","Cote d'Ivoire","CI1994DHS","Males",1984-05-01,"7-13",0.143977881662708,0.107476359265288,0.178986601991341
"CI1994DHS.4","Cote d'Ivoire","CI1994DHS","Females",1984-05-01,"7-13",0.138550203267497,0.100180927902222,0.175283370510921
"CI1994DHS.5","Cote d'Ivoire","CI1994DHS","Males",1991-05-02,"0-6",0.211704651719928,0.187222993312355,0.235448898028667
"CI1994DHS.6","Cote d'Ivoire","CI1994DHS","Females",1991-05-02,"0-6",0.183065648820677,0.155406259307266,0.209819227893643
"CI2005AIS.1","Cote d'Ivoire","CI2005AIS","Males",1988-04-01,"14-20",0.167378039884429,0.0741324944593205,0.25123268251881
"CI2005AIS.2","Cote d'Ivoire","CI2005AIS","Females",1988-04-01,"14-20",0.0824450381213816,0.0534662253860076,0.110536643648651
"CI2005AIS.3","Cote d'Ivoire","CI2005AIS","Males",1995-04-01,"7-13",0.249296020688533,0.178352089466835,0.314114406755588
"CI2005AIS.4","Cote d'Ivoire","CI2005AIS","Females",1995-04-01,"7-13",0.172927864707379,0.125817024048381,0.217499841800449
"CI2005AIS.5","Cote d'Ivoire","CI2005AIS","Males",2002-04-01,"0-6",0.26523771553283,0.203573844684856,0.322127216600783
"CI2005AIS.6","Cote d'Ivoire","CI2005AIS","Females",2002-04-01,"0-6",0.225093044147758,0.183183880652922,0.264851934229478
"CI2012DHS.1","Cote d'Ivoire","CI2012DHS","Males",1994-10-31,"14-20",0.213771685364537,0.151888164058381,0.271139799566395
"CI2012DHS.2","Cote d'Ivoire","CI2012DHS","Females",1994-10-31,"14-20",0.189943320842567,0.144167346052665,0.233270873200465
"CI2012DHS.3","Cote d'Ivoire","CI2012DHS","Males",2001-10-30,"7-13",0.228620985852608,0.191518192160855,0.264021060588431
"CI2012DHS.4","Cote d'Ivoire","CI2012DHS","Females",2001-10-30,"7-13",0.246840177672773,0.205757438102878,0.285797884448483
"CI2012DHS.5","Cote d'Ivoire","CI2012DHS","Males",2008-10-30,"0-6",0.204707904313964,0.178991220550078,0.229619057320609
"CI2012DHS.6","Cote d'Ivoire","CI2012DHS","Females",2008-10-30,"0-6",0.227323960495236,0.201755860096896,0.252073103728342
"CI2021DHS.1","Cote d'Ivoire","CI2021DHS","Males",2004-06-01,"14-20",0.112996422716498,0.0801662318278741,0.144654856847458
"CI2021DHS.2","Cote d'Ivoire","CI2021DHS","Females",2004-06-01,"14-20",0.208019659262539,0.127165026519667,0.281384363399643
"CI2021DHS.3","Cote d'Ivoire","CI2021DHS","Males",2011-06-01,"7-13",0.135085521714038,0.110614104607896,0.158883608763693
"CI2021DHS.4","Cote d'Ivoire","CI2021DHS","Females",2011-06-01,"7-13",0.146804637899091,0.119197693648102,0.173546299026522
"CI2021DHS.5","Cote d'Ivoire","CI2021DHS","Males",2018-06-01,"0-6",0.146358032569498,0.125123480774318,0.167077190271874
"CI2021DHS.6","Cote d'Ivoire","CI2021DHS","Females",2018-06-01,"0-6",0.142885860485969,0.122839527195856,0.162474061551891
"CM1998DHS.1","Cameroon","CM1998DHS","Males",1980-11-30,"14-20",0.116023713330976,0.065375496021595,0.163927254135837
"CM1998DHS.2","Cameroon","CM1998DHS","Females",1980-11-30,"14-20",0.10125832681494,0.0526288082096743,0.147391643192111
"CM1998DHS.3","Cameroon","CM1998DHS","Males",1987-11-30,"7-13",0.101516197147761,0.0733860032833866,0.128792413185715
"CM1998DHS.4","Cameroon","CM1998DHS","Females",1987-11-30,"7-13",0.118692619556692,0.0754760551702965,0.159889040010841
"CM1998DHS.5","Cameroon","CM1998DHS","Males",1994-11-30,"0-6",0.181672249838442,0.154131602004067,0.208316201112296
"CM1998DHS.6","Cameroon","CM1998DHS","Females",1994-11-30,"0-6",0.138898767954061,0.115578141802096,0.16160447081
"CM2004DHS.1","Cameroon","CM2004DHS","Males",1987-01-31,"14-20",0.158017797767562,0.101300546111816,0.211155602900376
"CM2004DHS.2","Cameroon","CM2004DHS","Females",1987-01-31,"14-20",0.168772453956896,0.0943145311514006,0.237109065932973
"CM2004DHS.3","Cameroon","CM2004DHS","Males",1994-01-30,"7-13",0.166188761409908,0.137765108251784,0.193675426206062
"CM2004DHS.4","Cameroon","CM2004DHS","Females",1994-01-30,"7-13",0.1380528991721,0.112080222112666,0.163265845487346
"CM2004DHS.5","Cameroon","CM2004DHS","Males",2001-01-30,"0-6",0.241997350212437,0.22014560596146,0.263236802309313
"CM2004DHS.6","Cameroon","CM2004DHS","Females",2001-01-30,"0-6",0.227303513734155,0.207234290961527,0.246864675047886
"CM2011DHS.1","Cameroon","CM2011DHS","Males",1994-01-30,"14-20",0.182276774619408,0.139305876123647,0.223102313844889
"CM2011DHS.2","Cameroon","CM2011DHS","Females",1994-01-30,"14-20",0.151022406615096,0.12156735132396,0.179489793376935
"CM2011DHS.3","Cameroon","CM2011DHS","Males",2001-01-29,"7-13",0.197969891051355,0.175279973854343,0.220035557198209
"CM2011DHS.4","Cameroon","CM2011DHS","Females",2001-01-29,"7-13",0.211000044799753,0.188954671155597,0.232446193614142
"CM2011DHS.5","Cameroon","CM2011DHS","Males",2008-01-30,"0-6",0.23212908945821,0.214862499274845,0.249015956171119
"CM2011DHS.6","Cameroon","CM2011DHS","Females",2008-01-30,"0-6",0.22814585129002,0.2118600219963,0.24409515630736
"CM2018DHS.1","Cameroon","CM2018DHS","Males",2001-06-01,"14-20",0.194564953559995,0.148110259213592,0.238486410888158
"CM2018DHS.2","Cameroon","CM2018DHS","Females",2001-06-01,"14-20",0.169379476574639,0.134469494934614,0.202881412153924
"CM2018DHS.3","Cameroon","CM2018DHS","Males",2008-05-31,"7-13",0.189591283635016,0.160860651613222,0.217338230148606
"CM2018DHS.4","Cameroon","CM2018DHS","Females",2008-05-31,"7-13",0.168113243312049,0.146032775401018,0.189622791111481
"CM2018DHS.5","Cameroon","CM2018DHS","Males",2015-06-01,"0-6",0.184631314708669,0.165607111238598,0.203221765299795
"CM2018DHS.6","Cameroon","CM2018DHS","Females",2015-06-01,"0-6",0.155096028076962,0.138852034525106,0.171033608170165
"CO2015DHS.1","Colombia","CO2015DHS","Males",1998-08-31,"14-20",0.120352905700542,0.103501826797423,0.136887242340613
"CO2015DHS.2","Colombia","CO2015DHS","Females",1998-08-31,"14-20",0.0402037112642374,0.0312374468254177,0.0490869895288667
"CO2015DHS.3","Colombia","CO2015DHS","Males",2005-08-30,"7-13",0.100086947595978,0.0898548727982655,0.110203990898672
"CO2015DHS.4","Colombia","CO2015DHS","Females",2005-08-30,"7-13",0.0322259876118516,0.0266067868421445,0.0378127498799711
"CO2015DHS.5","Colombia","CO2015DHS","Males",2012-08-30,"0-6",0.104114206043108,0.0907980656186734,0.117235318730471
"CO2015DHS.6","Colombia","CO2015DHS","Females",2012-08-30,"0-6",0.0496789884994816,0.0359846191756124,0.0631788217662415
"DR2002DHS.1","Dominican Republic","DR2002DHS","Males",1985-06-01,"14-20",0.0870643162836847,0.0439065289120208,0.128273973407478
"DR2002DHS.2","Dominican Republic","DR2002DHS","Females",1985-06-01,"14-20",0.0529543578293793,0.0337116807349521,0.0718138360230455
"DR2002DHS.3","Dominican Republic","DR2002DHS","Males",1992-05-31,"7-13",0.072024440740264,0.0580855234022108,0.0857570830699335
